Column,P-Value
Special-Sites_Non-Matching_Percent_Pair_2,3.9470403412472625e-36
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,6.04857760674624e-34
Special-Sites_Non-Matching_Percent_Pair_1,8.593947748744097e-34
Special-Sites_Non-Matching_Percent_Joint,4.3782018342210425e-33
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,7.198989223649688e-33
Special-Sites_Non-Matching_Count_Pair_2,8.608984395164786e-33
Special-Sites_Length_Pair_2,1.9711780392253504e-31
Special-Sites_Length_Joint,2.5828947529622993e-31
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Joint,7.159936713979745e-31
Special-Sites_Average_Sum_Blosum_Similar_Scores_Pair_2,9.64692244194846e-31
Special-Sites_Sum_Blosum_Non-Similar_Scores_Pair_2,1.2383062687034977e-30
Special-Sites_Non-Matching_Count_Joint,2.558150987226376e-30
Special-Sites_Sum_Blosum_Non-Similar_Scores_Pair_1,9.064089892798501e-30
Special-Sites_Sum_Blosum_Matching_Scores_Pair_2,3.966544530669272e-29
Special-Sites_Non-Matching_Count_Pair_1,4.0126447899879104e-29
Special-Sites_Matching_Count_Pair_2,7.080999844249453e-29
Special-Sites_Sum_Blosum_Positive_Scores_Pair_2,7.827479130997095e-29
Special-Sites_Sum_Blosum_Non-Similar_Scores_Joint,2.188244565249648e-28
Special-Sites_Sum_Blosum_Similar_Scores_Pair_2,3.260391120948255e-28
Special-Sites_Length_Pair_1,7.169562129914352e-28
Domain_Average_Sum_Blosum_Positive_Scores_Joint,1.211625730894537e-27
Domain_Average_Sum_Blosum_Matching_Scores_Joint,3.0779538321854817e-27
Domain_Average_Sum_Blosum_Positive_Scores_Pair_1,5.470226629191579e-27
Special-Sites_Sum_Blosum_Matching_Scores_Joint,5.878521974452924e-27
Special-Sites_Sum_Blosum_Positive_Scores_Joint,7.191696641365784e-27
Domain_Average_Sum_Blosum_Matching_Scores_Pair_1,8.433488900212212e-27
Special-Sites_Sum_Blosum_Positive_Scores_Pair_1,1.4383281968211377e-26
Special-Sites_Matching_Count_Joint,2.9032642825126945e-26
Special-Sites_Sum_Blosum_Matching_Scores_Pair_1,3.0473866560085895e-26
Global_Non-Matching_Count_Joint,3.3452420029037556e-26
Special-Sites_Matching_Count_Pair_1,1.6960118851781441e-25
Special-Sites_Average_Sum_Blosum_Similar_Scores_Joint,5.807022171262576e-24
Special-Sites_Average_Sum_Blosum_Similar_Scores_Pair_1,6.899928799063962e-24
Blast_Mismatch_Percent_Joint,2.551504527275537e-23
Blast_Mismatch_Percent_Pair_1,3.637303876133528e-23
Special-Sites_Sum_Blosum_Similar_Scores_Pair_1,9.105920009950468e-23
Special-Sites_Sum_Blosum_Similar_Scores_Joint,9.175244904504299e-23
Global_Non-Matching_Count_Pair_1,5.415339892291363e-22
Global_Non-Matching_Percent_Joint,1.8492848251094745e-21
Domain_Matching_Percent_Joint,2.1706328487232977e-21
Special-Sites_Average_Sum_Blosum_Matching_Scores_Pair_1,3.073386934038268e-21
Special-Sites_Average_Sum_Blosum_Positive_Scores_Pair_1,9.507243439438436e-21
Special-Sites_Average_Sum_Blosum_Matching_Scores_Joint,1.1870527130016299e-20
Special-Sites_Average_Sum_Blosum_Matching_Scores_Pair_2,1.5062329504439782e-20
Special-Sites_Matching_Percent_Pair_1,2.2364892786417506e-20
Special-Sites_Average_Sum_Blosum_Positive_Scores_Joint,4.159976134878906e-20
Special-Sites_Average_Sum_Blosum_Positive_Scores_Pair_2,5.607553207382202e-20
Special-Sites_Matching_Percent_Pair_2,5.923589811724394e-20
Global_Non-Matching_Percent_Pair_2,1.4826616396964514e-19
Global_Non-Matching_Count_Pair_2,1.5251357689077562e-19
Domain_Matching_Percent_Pair_1,1.572996196987846e-19
Special-Sites_Matching_Percent_Joint,2.0303151548166955e-19
Domain_Non-Matching_Percent_Joint,6.285986422738041e-19
Global_Non-Matching_Percent_Pair_1,7.544191694954217e-19
Domain_Average_Sum_Blosum_Positive_Scores_Pair_2,1.7392838407113443e-17
Domain_Average_Sum_Blosum_Matching_Scores_Pair_2,3.7583442205199353e-17
Blast_Start_A_Pair_2,4.714951085027416e-17
Domain_Non-Matching_Percent_Pair_1,7.762476133579254e-17
Blast_Mismatch_Percent_Pair_2,9.973663209968974e-17
Blast_Mismatch_Count_Joint,1.1233428353056136e-16
Blast_Start_A_Joint,3.5442037443713466e-16
Interface_Average_Difference_Sheet_Percent_Joint,7.228890687400342e-16
Domain_Non-Matching_Percent_Pair_2,1.2681747744176001e-15
Blast_Mismatch_Count_Pair_2,1.2908946555677273e-15
Blast_Mismatch_Count_Pair_1,1.2046492032667073e-14
Domain_Sum_Blosum_Matching_Scores_Joint,1.2914218708127722e-14
Blast_Start_A_Pair_1,2.6033853429878243e-14
Domain_Sum_Blosum_Positive_Scores_Joint,5.42352341811e-14
Global_Non-Matching-Gap_Percent_Pair_2,2.163475677058691e-13
Blast_Coverage_A_Pair_2,2.908824192756834e-13
Interface_Average_Sum_Blosum_Similar_Scores_Joint,1.6850287246534596e-12
Interface_Average_Difference_Sheet_Percent_Pair_1,1.7168222349785926e-12
Domain_Sum_Blosum_Matching_Scores_Pair_1,1.996349093258004e-12
Domain_Length_Joint,2.984290363152963e-12
Domain_Sum_Blosum_Positive_Scores_Pair_1,3.950877683289451e-12
Global_Non-Matching-Gap_Percent_Joint,1.0589726602339885e-11
Domain_Matching_Percent_Pair_2,1.3303889255020621e-11
Interface_Sum_Blosum_Similar_Scores_Joint,2.2880456249188606e-11
Global_Sum_Blosum_Matching_Scores_Joint,4.06371069831161e-11
Domain_Non-Matching_Count_Joint,1.004485456679459e-10
Global_Non-Matching-Gap_Count_Pair_2,1.0070461284357952e-10
Domain_Length_Pair_2,1.0195334927241386e-10
Interface_Difference_Sheet_Count_Joint,1.1949290324927912e-10
