Column,P-Value
Global_Average_Sum_Blosum_Non-Similar_Scores_Joint,9.658119695052586e-143
Global_Average_Sum_Blosum_Positive_Scores_Joint,9.542604884117765e-133
Blast_Coverage_B_Joint,1.9788881231235402e-128
Global_Matching_Percent_Joint,4.604849862152141e-128
Global_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,8.074362445923915e-124
Global_Average_Sum_Blosum_Matching_Scores_Joint,9.907940419748804e-119
Domain_Average_Sum_Blosum_Non-Similar_Scores_Joint,6.788202946278332e-118
Global_Non-Matching-Gap_Percent_Joint,1.1603342232514942e-112
Global_Average_Sum_Blosum_Positive_Scores_Pair_1,3.6298134697832863e-109
Global_Non-Matching-Gap_Count_Joint,2.196754920097418e-105
Global_Non-Matching-Gap_Percent_Pair_1,1.0092750564726587e-104
Global_Sum_Blosum_Non-Similar_Scores_Joint,6.009029286577659e-104
Domain_Matching_Percent_Joint,6.432755105761885e-104
Global_Matching_Percent_Pair_1,8.521189092725424e-104
Domain_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,2.430393523960112e-103
Global_Non-Matching-Gap_Count_Pair_1,1.5269236029054212e-102
Blast_Coverage_A_Joint,4.827701227046813e-100
Global_Average_Sum_Blosum_Matching_Scores_Pair_1,9.27959587328366e-99
Global_Sum_Blosum_Non-Similar_Scores_Pair_1,4.692980265706743e-98
Domain_Average_Sum_Blosum_Positive_Scores_Joint,5.1316359689643935e-95
Domain_Non-Matching-Gap_Percent_Pair_1,7.558684188712387e-95
Global_Average_Sum_Blosum_Similar_Scores_Joint,2.7952886442866425e-88
Domain_Average_Sum_Blosum_Matching_Scores_Joint,1.245600525041764e-85
Blast_Coverage_B_Pair_1,3.4558935709417674e-84
Blast_Positive_Percent_Pair_1,8.838238747865422e-84
Blast_Positive_Percent_Joint,3.650808437950552e-82
Blast_Coverage_A_Pair_1,6.897114745596064e-81
Blast_Coverage_B_Pair_2,5.325306773128604e-80
Domain_Matching_Percent_Pair_1,7.273262634910435e-79
Domain_Average_Sum_Blosum_Positive_Scores_Pair_1,4.347295433666288e-78
Domain_Non-Matching-Gap_Percent_Joint,4.595994859704425e-77
Global_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,4.864510877999354e-75
Global_Score_Joint,4.834701175265518e-73
Special-Sites_Non-Matching_Count_Pair_2,2.9124696651721775e-72
Domain_Non-Matching-Gap_Count_Pair_1,2.5770480985153646e-71
Global_Non-Matching-Gap_Percent_Pair_2,4.335641378200205e-70
Special-Sites_Length_Pair_2,6.594156645512251e-70
Domain_Average_Sum_Blosum_Matching_Scores_Pair_1,7.083217825017e-67
Blast_Gap_Pair_1,8.807498061688284e-65
Global_Average_Sum_Blosum_Similar_Scores_Pair_1,4.351181498386185e-64
Blast_Start_B_Joint,8.326080109384596e-64
Domain_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,2.1226197344165417e-61
Global_Score_Pair_1,6.506387739560533e-61
Blast_E-Value_Pair_1,3.306382898527912e-59
Blast_Identical_Percent_Pair_1,9.915165966387906e-58
Blast_E-Value_Joint,3.9820850682145303e-56
Global_Matching_Percent_Pair_2,6.123968479606387e-56
Blast_Bitscore_Joint,1.317557120870094e-54
Blast_Identical_Percent_Joint,6.198340892473164e-54
Blast_Bitscore_Pair_1,6.117029009104177e-53
Special-Sites_Sum_Blosum_Non-Similar_Scores_Pair_2,1.368592958247198e-52
Global_Non-Matching-Gap_Count_Pair_2,2.9093039945692216e-52
