Column,P-Value
Domain_Sum_Blosum_Non-Similar_Scores_Joint,2.18243076120955e-140
Domain_Non-Matching_Count_Pair_1,4.550823070835496e-139
Domain_Sum_Blosum_Non-Similar_Scores_Pair_1,8.396627394993156e-137
Domain_Non-Matching_Count_Joint,7.998898972759419e-131
Domain_Length_Pair_1,2.175335912265785e-126
Domain_Sum_Blosum_Similar_Scores_Pair_1,1.677649583687709e-123
Domain_Length_Joint,5.612813094339812e-116
Domain_Sum_Blosum_Similar_Scores_Joint,9.1226340826334e-115
Domain_Non-Matching-Gap_Count_Pair_1,1.8127371228766477e-106
Domain_Sum_Blosum_Non-Similar_Scores_Pair_2,2.719147397680108e-105
Domain_Sum_Blosum_Positive_Scores_Pair_1,1.6383146724863765e-100
Domain_Non-Matching_Percent_Joint,8.782661470786289e-100
Domain_Non-Matching_Count_Pair_2,2.154827748398354e-99
Special-Sites_Length_Joint,4.6697829353495243e-97
Domain_Non-Matching_Percent_Pair_1,6.112436632157915e-95
Domain_Sum_Blosum_Positive_Scores_Joint,6.87260269861701e-94
Domain_Sum_Blosum_Matching_Scores_Pair_1,1.0312192320492527e-92
Domain_Sum_Blosum_Similar_Scores_Pair_2,4.2747930563654114e-91
Domain_Length_Pair_2,4.8810031340547884e-91
Domain_Non-Matching-Gap_Count_Joint,5.868054156230395e-91
Domain_Matching_Count_Pair_1,1.901705969311447e-89
Domain_Non-Matching-Gap_Percent_Joint,2.252061056945861e-88
Domain_Sum_Blosum_Matching_Scores_Joint,5.234587043077091e-87
Domain_Non-Matching-Gap_Count_Pair_2,4.766606107474536e-86
Domain_Average_Sum_Blosum_Non-Similar_Scores_Joint,1.0031827825819044e-85
Special-Sites_Length_Pair_2,4.251436462424649e-84
Domain_Matching_Count_Joint,8.410913451802137e-84
Global_Average_Sum_Blosum_Similar_Scores_Joint,9.365045598892266e-80
Special-Sites_Non-Matching_Count_Pair_2,1.562233523262367e-79
Domain_Non-Matching-Gap_Percent_Pair_1,5.684905678819466e-77
Domain_Non-Matching_Percent_Pair_2,2.1334940891678513e-75
Special-Sites_Non-Matching_Percent_Pair_2,3.5179755060577713e-74
Global_Non-Matching-Gap_Count_Pair_2,1.4226897536365706e-71
Domain_Non-Matching-Gap_Percent_Pair_2,2.2795773014595243e-69
Domain_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,3.0984748604460162e-68
Domain_Matching_Percent_Joint,3.9723105649419605e-68
Global_Non-Matching-Gap_Percent_Pair_2,5.375798531511764e-68
Special-Sites_Length_Pair_1,8.642601310674291e-68
Domain_Matching_Percent_Pair_2,9.062571235087497e-68
Global_Non-Matching_Percent_Joint,2.756502236528621e-67
Domain_Matching_Percent_Pair_1,4.6718849142752943e-67
Domain_Average_Sum_Blosum_Positive_Scores_Pair_2,5.439591335449668e-67
Domain_Average_Sum_Blosum_Matching_Scores_Pair_2,3.736138546449969e-66
Domain_Average_Sum_Blosum_Positive_Scores_Joint,7.09740054620147e-66
Global_Non-Matching-Gap_Count_Joint,7.898184608368199e-66
Domain_Average_Sum_Blosum_Matching_Scores_Joint,1.2547720653588722e-65
Global_Length_Joint,1.4109912754644897e-65
Global_Sum_Blosum_Non-Similar_Scores_Joint,3.8761512707761215e-64
Domain_Sum_Blosum_Positive_Scores_Pair_2,6.676951093590531e-64
Domain_Average_Sum_Blosum_Positive_Scores_Pair_1,4.2470817043624525e-63
Special-Sites_Sum_Blosum_Positive_Scores_Pair_2,5.352293916487041e-63
Interface_Residues_Percent_Joint,2.2299161446544192e-62
Domain_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,3.0631949060111925e-62
Domain_Average_Sum_Blosum_Matching_Scores_Pair_1,7.166531975359714e-62
Special-Sites_Matching_Count_Pair_2,2.228707333622369e-61
Special-Sites_Non-Matching_Count_Pair_1,4.492249835300522e-61
Interface_Matching_Count_Joint,3.4284213386935205e-59
Special-Sites_Non-Matching_Percent_Pair_1,4.094657567599084e-59
Special-Sites_Sum_Blosum_Matching_Scores_Pair_2,9.629507060501873e-59
Special-Sites_Sum_Blosum_Positive_Scores_Pair_1,1.726655782646598e-58
Special-Sites_Average_Sum_Blosum_Positive_Scores_Pair_1,1.13043306230357e-57
Domain_Sum_Blosum_Matching_Scores_Pair_2,2.1099669944581408e-57
Global_Sum_Blosum_Non-Similar_Scores_Pair_2,1.0007099192281476e-56
Special-Sites_Sum_Blosum_Non-Similar_Scores_Pair_2,1.4493620062922622e-56
Special-Sites_Average_Sum_Blosum_Matching_Scores_Pair_1,4.300246526518431e-56
Interface_Sum_Blosum_Matching_Scores_Joint,6.062382918114863e-56
Global_Average_Sum_Blosum_Similar_Scores_Pair_2,6.251130798771257e-56
Global_Length_Pair_1,1.1260531123061337e-55
Special-Sites_Matching_Count_Pair_1,1.1922508145450184e-55
Interface_Residues_Percent_Pair_1,6.005080022301631e-55
Interface_Sum_Blosum_Positive_Scores_Joint,8.550739073304059e-55
Domain_Matching_Count_Pair_2,1.3403846292039975e-54
Special-Sites_Sum_Blosum_Matching_Scores_Pair_1,2.3275328286316327e-54
Global_Non-Matching-Gap_Percent_Joint,6.703527727142437e-54
Special-Sites_Sum_Blosum_Similar_Scores_Pair_2,7.74327286915719e-54
Special-Sites_Average_Sum_Blosum_Similar_Scores_Pair_2,1.1565037356528765e-53
Global_Non-Matching-Gap_Count_Pair_1,2.308789142498038e-53
Fasta_Length_B_Joint,1.782547163736201e-52
Global_Sum_Blosum_Non-Similar_Scores_Pair_1,3.1327595981563383e-52
Interface_Matching_Percent_Joint,7.6876797684925e-52
Global_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,1.452154688023027e-51
Special-Sites_Matching_Percent_Pair_1,3.2102430446771053e-51
Interface_Matching_Count_Pair_1,1.8379714557048923e-50
Fasta_Length_B_Pair_1,5.529819034131954e-50
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,1.623361173555669e-49
Blast_Start_B_Joint,2.3446566990098878e-49
Blast_Coverage_B_Joint,2.350862665196309e-49
Blast_Gap_Joint,1.003160871738264e-48
Global_Average_Sum_Blosum_Similar_Scores_Pair_1,3.620400440193288e-48
Blast_Start_A_Joint,3.771981680874917e-48
Interface_Sum_Blosum_Matching_Scores_Pair_1,3.9346122162147235e-48
Interface_Sum_Blosum_Positive_Scores_Pair_1,5.178815698367028e-48
Blast_Gap_Pair_2,7.247554785203599e-47
Interface_Average_Sum_Blosum_Matching_Scores_Joint,4.273906480303886e-46
Global_Non-Matching_Percent_Pair_2,9.246119797104847e-46
Interface_Average_Sum_Blosum_Positive_Scores_Joint,1.7324513053005057e-45
Fasta_Length_A_Joint,3.9065123974429367e-45
Global_Length_Pair_2,4.308484913626338e-45
Global_Average_Sum_Blosum_Non-Similar_Scores_Joint,4.3118180852295075e-45
Global_Non-Matching-Gap_Percent_Pair_1,4.3495639356484065e-45
Global_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,4.439645551260222e-45
Interface_Sum_Blosum_Similar_Scores_Joint,1.8064449716618844e-44
Special-Sites_Average_Sum_Blosum_Positive_Scores_Pair_2,5.847606983739115e-44
Global_Non-Matching_Percent_Pair_1,9.284362996009826e-44
Blast_Gap_Pair_1,1.9309615705297123e-43
Special-Sites_Average_Sum_Blosum_Matching_Scores_Pair_2,1.1978085326737045e-42
Special-Sites_Matching_Percent_Pair_2,1.130576677931227e-41
Special-Sites_Sum_Blosum_Non-Similar_Scores_Pair_1,4.1593043019151503e-41
Interface_Matching_Percent_Pair_1,1.1226126466943066e-40
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,2.4400217597791454e-40
Interface_Overlapping_Domain_Percent_Pair_2,8.70574626980076e-39
Blast_Start_A_Pair_1,1.022453578394712e-37
Interface_Sum_Blosum_Similar_Scores_Pair_1,1.0502482800850215e-37
Interface_Matching_Count_Pair_2,1.3503203209954035e-37
Interface_Residues_Length_Pair_1,2.4669860234683068e-37
Special-Sites_Sum_Blosum_Similar_Scores_Pair_1,3.6161449264497947e-37
Interface_Average_Sum_Blosum_Positive_Scores_Pair_1,6.227675550021994e-37
Interface_Non-Matching_Count_Joint,6.487223206091481e-37
Blast_End_B_Joint,6.90159237415363e-37
Blast_End_A_Pair_1,1.086301547762425e-36
Special-Sites_Average_Sum_Blosum_Similar_Scores_Pair_1,2.6789396291757547e-36
Global_Non-Matching_Count_Joint,5.1211733759729657e-36
Interface_Average_Sum_Blosum_Matching_Scores_Pair_1,2.8653906446730014e-35
Interface_Difference_Turn_Count_Joint,6.384815259114654e-35
Interface_Difference_Sheet_Count_Joint,6.719122220850505e-35
Fasta_Length_A_Pair_1,7.501675573074344e-35
Global_Non-Matching_Count_Pair_1,1.280891511905857e-34
Interface_Sum_Blosum_Matching_Scores_Pair_2,1.468911183392037e-34
Blast_Start_A_Pair_2,2.1745973989000564e-34
Fasta_Length_B_Pair_2,3.2809483796759247e-34
Interface_Non-Matching_Count_Pair_1,4.204808045235929e-34
Blast_End_A_Joint,4.380380485224606e-34
Blast_Coverage_A_Joint,2.314411833938145e-33
Interface_Residues_Length_Joint,4.1174580125335174e-33
Interface_Residues_Percent_Pair_2,8.74863497249116e-33
Blast_Start_B_Pair_1,3.760836974407931e-32
Blast_Start_B_Pair_2,6.138882117313834e-32
Interface_Sum_Blosum_Positive_Scores_Pair_2,1.165328910554575e-31
Global_Matching_Percent_Pair_2,2.122484743902477e-31
Interface_Difference_Helix_Count_Joint,3.929807045206585e-31
Blast_End_B_Pair_1,1.1812945295430286e-30
Global_Matching_Percent_Joint,2.7266948453591837e-30
Blast_Alignment_Length_Joint,3.225013523947361e-30
Global_Average_Sum_Blosum_Positive_Scores_Pair_2,4.784089231375758e-30
Global_Sum_Blosum_Positive_Scores_Joint,4.671332305214527e-29
Special-Sites_Non-Matching_Count_Joint,1.1707312613332554e-28
Interface_Difference_Net_Charge_Index_Side_Chains_Scores_Joint,1.2554690599929715e-28
Global_Sum_Blosum_Positive_Scores_Pair_1,3.42156122238898e-28
Special-Sites_Average_Sum_Blosum_Positive_Scores_Joint,4.533523969012574e-28
Global_Sum_Blosum_Matching_Scores_Joint,4.949282137833931e-28
Special-Sites_Sum_Blosum_Positive_Scores_Joint,6.002997593618082e-28
Global_Non-Matching_Count_Pair_2,1.108674145383394e-27
Interface_Matching_Percent_Pair_2,1.5865589627420955e-27
Global_Sum_Blosum_Matching_Scores_Pair_1,1.9313693725018465e-27
Special-Sites_Non-Matching_Percent_Joint,2.1616832331465687e-27
Global_Sum_Blosum_Similar_Scores_Joint,2.4268196239262466e-27
Global_Sum_Blosum_Similar_Scores_Pair_1,3.16503753316933e-27
Interface_Difference_Hydrophobicity_Scores_Joint,5.094716126195603e-27
Special-Sites_Average_Sum_Blosum_Matching_Scores_Joint,5.85487896820148e-27
Global_Average_Sum_Blosum_Positive_Scores_Joint,2.1051376087842902e-26
Blast_Mismatch_Count_Joint,3.5031172653449326e-26
Special-Sites_Matching_Count_Joint,4.7696505110940496e-26
Special-Sites_Sum_Blosum_Matching_Scores_Joint,4.8170815351239285e-26
Blast_Coverage_A_Pair_2,6.061019629496411e-26
Blast_Alignment_Length_Pair_1,1.040632496342705e-25
Global_Matching_Percent_Pair_1,1.2691800061567856e-25
Interface_Overlapping_Domain_Percent_Pair_1,3.0050230391634424e-25
Interface_Difference_Sheet_Count_Pair_1,4.02134423547615e-25
Special-Sites_Matching_Percent_Joint,1.0615176226340365e-24
Interface_Average_Sum_Blosum_Similar_Scores_Joint,2.036564770974144e-24
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Joint,3.672611299158128e-24
Interface_Residues_Length_Pair_2,4.298765018658016e-24
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Joint,4.718855480426798e-24
Blast_Coverage_B_Pair_2,7.03499164389992e-24
Interface_Average_Sum_Blosum_Matching_Scores_Pair_2,8.383440928412073e-24
Interface_Average_Sum_Blosum_Positive_Scores_Pair_2,4.3739042053078895e-23
Global_Matching_Count_Joint,6.717776157814856e-23
Global_Average_Sum_Blosum_Matching_Scores_Pair_2,8.859471734747049e-23
Interface_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_1,1.228479244398816e-22
Blast_Mismatch_Count_Pair_1,2.0979127852482067e-22
Interface_Difference_Hydrophobicity_Scores_Pair_1,3.5331133616139467e-22
Global_Matching_Count_Pair_1,7.797924936006634e-22
Fasta_Length_A_Pair_2,9.338145603671533e-22
Blast_Coverage_B_Pair_1,1.3334524282415778e-21
Interface_Difference_Helix_Count_Pair_1,3.1347880192770384e-20
Global_Average_Sum_Blosum_Positive_Scores_Pair_1,4.1006919249518125e-20
Interface_Sum_Blosum_Non-Similar_Scores_Joint,1.1653278244871293e-19
Interface_Difference_Polarity_Scores_Joint,1.4376914519650624e-19
Interface_Difference_Turn_Count_Pair_1,1.4470331829995985e-19
Blast_End_B_Pair_2,2.3711765936435576e-19
Blast_Positive_Percent_Joint,3.9294547229515135e-19
Interface_Difference_Volume_Buried_Residue_Scores_Joint,8.914606573845813e-19
Global_Average_Sum_Blosum_Matching_Scores_Joint,1.2506490742762016e-18
Special-Sites_Sum_Blosum_Non-Similar_Scores_Joint,3.201162038221922e-17
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Joint,6.123684874529664e-17
Blast_Positive_Percent_Pair_2,6.503133179736703e-17
Domain_Average_Sum_Blosum_Similar_Scores_Joint,1.3699409236570458e-16
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_1,1.4056604932917705e-16
Blast_End_A_Pair_2,2.9797561784609296e-16
Blast_Mismatch_Percent_Joint,3.091657828011185e-16
Global_Average_Sum_Blosum_Matching_Scores_Pair_1,6.2619075054392895e-16
Interface_Difference_Turn_Count_Pair_2,1.0711833570598793e-15
Blast_Mismatch_Count_Pair_2,1.5218229135073044e-15
Blast_Positive_Percent_Pair_1,2.3393036759340615e-15
Interface_Difference_Molecular_Weight_Scores_Joint,5.789311844879783e-15
Interface_Non-Matching_Count_Pair_2,7.786245864289783e-15
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Joint,8.77504139477223e-15
Interface_Difference_Total_Accessible_Surface_Area_Scores_Joint,1.0062580035752564e-14
Interface_Difference_Sheet_Count_Pair_2,3.797906342319801e-14
Global_Sum_Blosum_Similar_Scores_Pair_2,5.922508992375282e-14
Interface_Difference_Polarizability_Scores_Joint,1.1789738601440416e-13
Interface_Average_Sum_Blosum_Similar_Scores_Pair_1,1.8546825368711163e-13
Interface_Difference_Helix_Count_Pair_2,3.4159941109695955e-13
Interface_Sum_Blosum_Similar_Scores_Pair_2,3.449423085359628e-13
Blast_Alignment_Length_Pair_2,6.841621985555572e-13
Interface_Overlapping_Domain_Percent_Joint,1.9184255929374582e-12
Blast_Positive_Count_Joint,2.2102487533380117e-12
Global_Sum_Blosum_Positive_Scores_Pair_2,2.324422327301373e-12
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_1,5.079819146258975e-12
Blast_Coverage_A_Pair_1,5.326388088377086e-12
Blast_Mismatch_Percent_Pair_1,8.469012885479854e-12
Interface_Difference_Volume_Side_Chains_Scores_Joint,2.3365435785659087e-11
Interface_Difference_Polarity_Scores_Pair_1,2.47623692780692e-11
Global_Sum_Blosum_Matching_Scores_Pair_2,3.311161910491846e-11
Interface_Average_Difference_Helix_Percent_Joint,2.622819703600571e-10
Special-Sites_Sum_Blosum_Similar_Scores_Joint,6.989298430553949e-10
Domain_Average_Sum_Blosum_Similar_Scores_Pair_2,1.146393862468402e-09
Interface_Difference_Volume_Buried_Residue_Scores_Pair_1,1.308205715947507e-09
Special-Sites_Average_Sum_Blosum_Similar_Scores_Joint,1.3312500343160376e-09
Blast_Mismatch_Percent_Pair_2,1.454510495233277e-09
Blast_Positive_Count_Pair_1,2.263535578734424e-09
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Joint,2.692450305906804e-09
