Column,P-Value
Domain_Average_Sum_Blosum_Positive_Scores_Joint,4.0319375617723286e-24
Interface_Residues_Percent_Pair_1,2.750715242489041e-22
Global_Average_Sum_Blosum_Similar_Scores_Pair_1,5.083663647332487e-22
Domain_Average_Sum_Blosum_Matching_Scores_Joint,2.849556333747191e-21
Fasta_Length_A_Pair_1,3.231288632022505e-20
Domain_Average_Sum_Blosum_Positive_Scores_Pair_2,3.5672636833218094e-20
Domain_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,5.45756946751272e-20
Domain_Average_Sum_Blosum_Matching_Scores_Pair_2,8.427250713428416e-20
Interface_Residues_Percent_Joint,1.243707710239567e-19
Domain_Matching_Percent_Joint,2.5488830122781477e-19
Domain_Sum_Blosum_Non-Similar_Scores_Pair_2,5.396195244442715e-19
Domain_Matching_Percent_Pair_2,6.332835157801958e-19
Domain_Non-Matching-Gap_Count_Pair_2,1.2348786195869754e-18
Global_Length_Pair_1,2.4782983007963443e-18
Interface_Matching_Percent_Joint,4.161787937863529e-18
Global_Average_Sum_Blosum_Similar_Scores_Joint,4.660220538786357e-18
Domain_Average_Sum_Blosum_Similar_Scores_Pair_1,6.251607095490821e-18
Blast_Mismatch_Count_Pair_1,9.271578288710139e-18
Interface_Average_Sum_Blosum_Positive_Scores_Joint,3.415094481250901e-17
Domain_Non-Matching-Gap_Percent_Pair_2,3.859624765279199e-17
Interface_Average_Sum_Blosum_Matching_Scores_Joint,6.97230825062457e-17
Domain_Non-Matching-Gap_Count_Pair_1,1.0497575843102904e-16
Global_Length_Joint,1.8421648828304153e-16
Domain_Non-Matching-Gap_Count_Joint,1.9324633315013688e-16
Domain_Non-Matching-Gap_Percent_Joint,6.870880471218491e-16
Fasta_Length_B_Joint,1.2105832252897224e-15
Blast_End_B_Joint,2.7374752253905218e-15
Blast_End_B_Pair_1,4.414227533045217e-15
Fasta_Length_B_Pair_1,4.599658773265589e-15
Domain_Average_Sum_Blosum_Non-Similar_Scores_Joint,4.769720373769139e-15
Domain_Sum_Blosum_Non-Similar_Scores_Joint,1.517875398892166e-14
Blast_End_A_Pair_1,2.3708172642097e-14
Interface_Matching_Count_Joint,2.4573938651562215e-14
Domain_Non-Matching-Gap_Percent_Pair_1,5.848300081748134e-14
Domain_Sum_Blosum_Non-Similar_Scores_Pair_1,8.114107709630074e-14
Interface_Sum_Blosum_Matching_Scores_Joint,1.2480731711282796e-13
Blast_Mismatch_Count_Joint,1.5588514061401305e-13
Interface_Sum_Blosum_Positive_Scores_Joint,1.666085247560837e-13
Interface_Matching_Percent_Pair_1,2.0134029608372702e-13
Blast_Alignment_Length_Pair_1,2.0220823260796734e-13
Domain_Length_Pair_1,5.055247133913059e-13
Domain_Average_Sum_Blosum_Positive_Scores_Pair_1,9.448233714973416e-13
Domain_Non-Matching_Count_Pair_2,1.5994399204248877e-12
Blast_End_A_Joint,1.6787549333407227e-12
Interface_Matching_Count_Pair_1,2.4658880504035638e-12
Fasta_Length_A_Joint,2.63287307683335e-12
Domain_Non-Matching_Count_Pair_1,3.4747657571465005e-12
