Column,P-Value
Interface_Average_Difference_Sheet_Percent_Joint,1.4906489809845116e-07
Interface_Average_Difference_Sheet_Percent_Pair_2,1.2403019225284982e-06
Global_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,1.8295117574611444e-06
Domain_Sum_Blosum_Non-Similar_Scores_Pair_2,1.906247485689003e-06
Interface_Non-Matching_Percent_Joint,4.805750553343607e-06
Domain_Non-Matching_Count_Pair_2,8.29822429492895e-06
Global_Non-Matching-Gap_Percent_Pair_1,1.0474538014381928e-05
Global_Matching_Percent_Pair_1,1.256809054167294e-05
Blast_Gap_Pair_1,1.6259286313223003e-05
Domain_Sum_Blosum_Non-Similar_Scores_Joint,1.938917027196046e-05
Global_Average_Sum_Blosum_Non-Similar_Scores_Joint,2.6818701170632243e-05
Interface_Average_Difference_Sheet_Percent_Pair_1,2.9047920414820937e-05
Blast_Positive_Percent_Pair_1,4.1168873321235434e-05
Domain_Sum_Blosum_Similar_Scores_Pair_2,4.130257904195405e-05
Global_Non-Matching-Gap_Count_Pair_1,4.2427316916148264e-05
Interface_Non-Matching_Percent_Pair_2,4.414802796898075e-05
Domain_Length_Pair_2,4.547868818330078e-05
Global_Matching_Percent_Joint,4.571097290972232e-05
Interface_Non-Matching_Percent_Pair_1,4.784417026355602e-05
Global_Sum_Blosum_Non-Similar_Scores_Pair_1,5.661520918680376e-05
Interface_Average_Difference_Turn_Percent_Pair_1,8.11621334613449e-05
Domain_Non-Matching-Gap_Count_Joint,8.779483949759622e-05
Domain_Non-Matching_Count_Joint,9.027636408741278e-05
Global_Non-Matching-Gap_Percent_Joint,0.000109242717373083
Domain_Sum_Blosum_Similar_Scores_Joint,0.00011075269568235912
Domain_Non-Matching-Gap_Count_Pair_2,0.00011142075732105499
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_2,0.00011937355784208485
Global_Average_Sum_Blosum_Positive_Scores_Pair_1,0.00013863163120504237
Global_Average_Sum_Blosum_Matching_Scores_Joint,0.00014185258402425862
Global_Average_Sum_Blosum_Matching_Scores_Pair_1,0.00014900683013440593
Global_Average_Sum_Blosum_Positive_Scores_Joint,0.0001947549593479197
Domain_Length_Joint,0.00019951927007790497
Domain_Matching_Count_Pair_2,0.0002292642292280972
Domain_Sum_Blosum_Positive_Scores_Pair_2,0.00028342903704960663
Domain_Sum_Blosum_Matching_Scores_Pair_2,0.00030396659147491226
Blast_Identical_Percent_Pair_1,0.0003297159568532387
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Joint,0.0004116870059328135
Interface_Average_Difference_Helix_Percent_Pair_2,0.00044617156344121413
Interface_Average_Difference_Turn_Percent_Joint,0.0006619811556426007
Blast_Positive_Percent_Joint,0.0006724460322687634
Global_Sum_Blosum_Non-Similar_Scores_Joint,0.0006866799209187673
Global_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,0.000732200093082598
Domain_Sum_Blosum_Non-Similar_Scores_Pair_1,0.0007626384831541953
Blast_Identical_Percent_Joint,0.0007946554070084856
Interface_Average_Difference_Turn_Percent_Pair_2,0.0008263717489849702
Domain_Non-Matching-Gap_Count_Pair_1,0.0008651866837892165
Blast_Gap_Joint,0.0011185401312651547
Global_Non-Matching-Gap_Count_Joint,0.001123719953974925
Interface_Average_Difference_Hydrophobicity_Scores_Pair_2,0.0012495537116611656
Special-Sites_Non-Matching_Percent_Pair_1,0.0013643985268724135
Interface_Average_Difference_Hydrophobicity_Scores_Joint,0.0014503866460788466
Special-Sites_Average_Sum_Blosum_Similar_Scores_Pair_2,0.0016313621385177183
Domain_Sum_Blosum_Positive_Scores_Joint,0.0016621063763810142
Blast_Coverage_A_Pair_1,0.0021712750708605118
Global_Non-Matching-Gap_Percent_Pair_2,0.0023833388291405566
Domain_Sum_Blosum_Matching_Scores_Joint,0.0024769962590794983
Special-Sites_Average_Sum_Blosum_Similar_Scores_Pair_1,0.002606811299995772
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_1,0.00262951372292284
Special-Sites_Non-Matching_Percent_Joint,0.002730054105796479
Blast_E-Value_Joint,0.0028855236686552914
Domain_Matching_Count_Joint,0.002928115122987934
Special-Sites_Non-Matching_Percent_Pair_2,0.0030030808420852626
Global_Length_Pair_1,0.0034665594356642444
Blast_Mismatch_Count_Pair_1,0.0038508967538337492
Global_Sum_Blosum_Similar_Scores_Pair_1,0.004707591512714779
Interface_Difference_Sheet_Count_Pair_1,0.004751915972462049
Global_Non-Matching_Count_Pair_1,0.0047698708937310656
Domain_Non-Matching-Gap_Percent_Pair_1,0.004894676244570818
Interface_Average_Difference_Volume_Side_Chains_Scores_Pair_2,0.0051632736394158435
Interface_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,0.005689049638245452
Special-Sites_Sum_Blosum_Similar_Scores_Pair_2,0.006283874245973179
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Joint,0.006603279002578171
Global_Matching_Percent_Pair_2,0.006669386913931726
Interface_Average_Difference_Hydrophobicity_Scores_Pair_1,0.0067318310114095545
Interface_Difference_Turn_Count_Pair_1,0.007380801554476781
Blast_Bitscore_Joint,0.007875325969646529
Fasta_Length_A_Pair_1,0.008065839058423861
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Joint,0.008346188026700771
Interface_Average_Difference_Helix_Percent_Joint,0.00848212762811927
Interface_Difference_Sheet_Count_Joint,0.008708728975511457
Global_Average_Sum_Blosum_Matching_Scores_Pair_2,0.008990074966954616
Interface_Overlapping_Domain_Percent_Joint,0.009260823935532618
Global_Average_Sum_Blosum_Positive_Scores_Pair_2,0.009361152659741297
Domain_Sum_Blosum_Similar_Scores_Pair_1,0.009731574460926663
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_2,0.010210470370180452
Blast_E-Value_Pair_1,0.010393592026293558
Global_Sum_Blosum_Non-Similar_Scores_Pair_2,0.011942694590852754
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_2,0.012254642180798182
Interface_Average_Difference_Volume_Buried_Residue_Scores_Pair_2,0.012788043371798273
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_2,0.01298546835765823
Domain_Non-Matching_Count_Pair_1,0.013605834319951219
Global_Non-Matching-Gap_Count_Pair_2,0.01517242840330427
Domain_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,0.015636851380579745
Domain_Non-Matching-Gap_Percent_Joint,0.016502957898857806
Blast_Alignment_Length_Pair_1,0.016578000398404093
Blast_Coverage_A_Joint,0.01699299491518482
Interface_Difference_Sheet_Count_Pair_2,0.01811014640564401
Blast_Bitscore_Pair_1,0.018276081740114275
Interface_Average_Difference_Volume_Side_Chains_Scores_Joint,0.018708117601934023
Global_Score_Joint,0.020742944882730523
Interface_Overlapping_Domain_Count_Joint,0.02094501812630573
Interface_Average_Difference_Volume_Buried_Residue_Scores_Joint,0.021072556683688407
Interface_Average_Sum_Blosum_Non-Similar_Scores_Joint,0.02110434804647451
Domain_Non-Matching-Gap_Percent_Pair_2,0.022311825515903074
Interface_Non-Matching_Count_Pair_1,0.02258073522694323
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_1,0.023314152935903724
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_1,0.02455147249249683
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Joint,0.025357381557994937
Interface_Average_Difference_Volume_Side_Chains_Scores_Pair_1,0.02541051238514974
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_2,0.02554259515634321
Fasta_Length_B_Pair_1,0.02582064224288028
Interface_Difference_Turn_Count_Joint,0.02590494774426823
Blast_Mismatch_Count_Joint,0.02701655255013166
Global_Length_Joint,0.027195243102942364
Domain_Length_Pair_1,0.027416664217704424
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Joint,0.028674041636083114
Global_Sum_Blosum_Similar_Scores_Joint,0.029254788985340733
Blast_End_B_Pair_1,0.029508091320877273
Interface_Average_Difference_Volume_Buried_Residue_Scores_Pair_1,0.030807382074402725
Blast_Identical_Percent_Pair_2,0.030830292488944318
Interface_Difference_Volume_Side_Chains_Scores_Joint,0.03099673249972927
Interface_Overlapping_Domain_Percent_Pair_1,0.03160754231133827
Blast_Start_A_Pair_1,0.03183348144813996
Interface_Difference_Volume_Side_Chains_Scores_Pair_1,0.032232589754759976
Special-Sites_Sum_Blosum_Similar_Scores_Pair_1,0.033801260430790916
Global_Score_Pair_1,0.03393402974852963
Blast_Gap_Pair_2,0.039185482812625703
Special-Sites_Average_Sum_Blosum_Positive_Scores_Pair_1,0.04075566830013272
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_1,0.04248129973942402
Special-Sites_Average_Sum_Blosum_Similar_Scores_Joint,0.04304770664655968
Domain_Average_Sum_Blosum_Similar_Scores_Pair_2,0.043132918869914126
Interface_Difference_Hydrophobicity_Scores_Pair_1,0.04338032819579306
Interface_Average_Difference_Total_Accessible_Surface_Area_Scores_Joint,0.043915592859659375
Interface_Overlapping_Domain_Percent_Pair_2,0.0446252829543639
Interface_Difference_Hydrophobicity_Scores_Joint,0.04474817240712529
Interface_Overlapping_Domain_Count_Pair_1,0.04514291046849292
Interface_Difference_Hydrophobicity_Scores_Pair_2,0.04528212876447918
Interface_Average_Difference_Polarity_Scores_Pair_2,0.04551015343735359
Interface_Average_Difference_Polarizability_Scores_Joint,0.04562383195318317
Global_Non-Matching_Count_Joint,0.04640707983117216
Interface_Average_Difference_Polarity_Scores_Joint,0.04744162016660586
Interface_Average_Difference_Polarity_Scores_Pair_1,0.04808765574224855
Interface_Difference_Total_Accessible_Surface_Area_Scores_Joint,0.050057648156986385
Interface_Difference_Polarizability_Scores_Joint,0.05036431318484968
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_1,0.05083467139694801
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_2,0.050887872162882535
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Joint,0.05091434686436817
