Column,P-Value
Special-Sites_Sum_Blosum_Non-Similar_Scores_Pair_1,1.011377275588862e-06
Special-Sites_Non-Matching_Count_Pair_1,1.3192297893096343e-06
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_2,1.6792386253005893e-06
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_2,3.680095356464977e-06
Interface_Non-Matching-Gap_Count_Pair_2,5.0809778978556396e-06
Special-Sites_Sum_Blosum_Non-Similar_Scores_Joint,7.199832186782453e-06
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,7.446837089572426e-06
Blast_Bitscore_Joint,7.936053210196874e-06
Interface_Average_Difference_Flexibility_Scores_Pair_2,8.896359663528693e-06
Interface_Difference_Flexibility_Scores_Pair_2,9.089076016886191e-06
Interface_Non-Matching-Gap_Percent_Pair_2,1.1864986810459817e-05
Special-Sites_Non-Matching_Count_Joint,1.400210639959974e-05
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_2,2.1010964912357945e-05
Blast_E-Value_Joint,2.139645840840823e-05
Interface_Matching_Percent_Joint,3.230706972179375e-05
Interface_Average_Sum_Blosum_Positive_Scores_Joint,3.630980285194449e-05
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Joint,4.0340796540599494e-05
Special-Sites_Length_Pair_1,4.056681844519942e-05
Blast_Bitscore_Pair_1,4.497962140720547e-05
Blast_E-Value_Pair_1,4.577096307953109e-05
Global_Score_Joint,4.680067011169637e-05
Interface_Difference_Polarizability_Scores_Pair_2,4.762586881400055e-05
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_2,5.419817986182933e-05
Interface_Difference_Total_Accessible_Surface_Area_Scores_Pair_2,5.8126489049834936e-05
Special-Sites_Non-Matching_Percent_Pair_1,6.773752491969042e-05
Interface_Difference_Molecular_Weight_Scores_Pair_2,7.216080288278692e-05
Interface_Average_Difference_Polarizability_Scores_Pair_2,7.400322807534327e-05
Interface_Average_Difference_Volume_Side_Chains_Scores_Pair_2,7.75245086137074e-05
Global_Score_Pair_1,7.905956748171012e-05
Interface_Average_Sum_Blosum_Positive_Scores_Pair_2,7.9348077079248e-05
Special-Sites_Length_Joint,8.416033250983443e-05
Interface_Difference_Volume_Side_Chains_Scores_Pair_2,8.420343091450283e-05
Blast_Start_A_Joint,8.651593732867756e-05
Domain_Average_Sum_Blosum_Positive_Scores_Joint,9.450947701914547e-05
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Joint,9.536468212619555e-05
Interface_Average_Sum_Blosum_Matching_Scores_Joint,9.561772281089446e-05
Blast_Bitscore_Pair_2,9.76078390115739e-05
Domain_Average_Sum_Blosum_Matching_Scores_Joint,0.00010324668100855464
Interface_Average_Difference_Total_Accessible_Surface_Area_Scores_Pair_2,0.00010608308515098748
Blast_E-Value_Pair_2,0.00010863353573712155
Domain_Matching_Percent_Joint,0.00012727110167262942
Interface_Average_Difference_Molecular_Weight_Scores_Pair_2,0.00013918586425622236
Domain_Non-Matching-Gap_Count_Joint,0.00014503945475320812
Interface_Average_Difference_Flexibility_Scores_Joint,0.00015177039683364276
Special-Sites_Non-Matching_Percent_Joint,0.00015217127301036905
Interface_Difference_Flexibility_Scores_Joint,0.0001590001027529932
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Joint,0.00016527549671780268
Interface_Non-Matching-Gap_Count_Pair_1,0.0001899709611306996
Blast_Positive_Percent_Pair_2,0.00020523673304489814
Interface_Matching_Percent_Pair_2,0.00021688243722585012
Domain_Non-Matching-Gap_Count_Pair_1,0.0002200829708120106
Global_Score_Pair_2,0.00022783533288758814
Domain_Sum_Blosum_Non-Similar_Scores_Pair_1,0.0002449042771316217
Interface_Non-Matching-Gap_Count_Joint,0.0002631562009868578
Interface_Overlapping_Domain_Count_Pair_2,0.00027161852664188955
Special-Sites_Sum_Blosum_Non-Similar_Scores_Pair_2,0.00028018927215890297
Blast_Positive_Percent_Joint,0.00028803951919775225
Global_Non-Matching_Percent_Joint,0.00029424620774003423
Interface_Overlapping_Domain_Count_Joint,0.00030631632415695215
Interface_Average_Difference_Polarizability_Scores_Joint,0.0003100327510303745
Blast_Start_A_Pair_1,0.000312544545655041
Blast_Identical_Percent_Joint,0.0003158962368369735
Domain_Average_Sum_Blosum_Matching_Scores_Pair_1,0.0003344344025782559
Global_Matching_Count_Joint,0.00034317768451219845
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Joint,0.00035110503058695744
Special-Sites_Sum_Blosum_Similar_Scores_Pair_1,0.0003659688569212413
Domain_Matching_Percent_Pair_1,0.0003768753619599464
Domain_Average_Sum_Blosum_Positive_Scores_Pair_1,0.00038494460389014326
Blast_Start_A_Pair_2,0.0003877542661811098
Blast_Identical_Percent_Pair_2,0.0003940182549943614
Interface_Difference_Polarity_Scores_Pair_2,0.00040350156689920776
Global_Sum_Blosum_Matching_Scores_Joint,0.00040760095833690933
Interface_Average_Sum_Blosum_Matching_Scores_Pair_2,0.00042427941935110496
Interface_Difference_Volume_Buried_Residue_Scores_Pair_2,0.00042459898775601364
Interface_Difference_Flexibility_Scores_Pair_1,0.0004571769534994044
Domain_Sum_Blosum_Non-Similar_Scores_Joint,0.00046012130384847337
Global_Sum_Blosum_Positive_Scores_Joint,0.0004847827674572188
Blast_Identical_Count_Joint,0.0004939818406452541
