Column,P-Value
Global_Non-Matching_Percent_Joint,0.0
Interface_Average_Difference_Volume_Side_Chains_Scores_Joint,0.0
Global_Average_Sum_Blosum_Similar_Scores_Pair_2,0.0
Global_Non-Matching-Gap_Percent_Pair_2,0.0
Domain_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,0.0
Global_Matching_Percent_Joint,0.0
Domain_Non-Matching-Gap_Percent_Pair_1,0.0
Global_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,0.0
Domain_Average_Sum_Blosum_Non-Similar_Scores_Joint,0.0
Global_Average_Sum_Blosum_Positive_Scores_Pair_1,0.0
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Joint,0.0
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,0.0
Special-Sites_Average_Sum_Blosum_Similar_Scores_Pair_1,0.0
Domain_Average_Sum_Blosum_Matching_Scores_Joint,0.0
Domain_Matching_Percent_Joint,0.0
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Joint,0.0
Special-Sites_Non-Matching_Percent_Pair_1,0.0
Special-Sites_Non-Matching_Percent_Pair_2,0.0
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_1,0.0
Interface_Matching_Percent_Joint,0.0
Domain_Length_Pair_2,0.0
Domain_Sum_Blosum_Non-Similar_Scores_Pair_2,0.0
Domain_Non-Matching-Gap_Percent_Pair_2,0.0
Domain_Non-Matching-Gap_Count_Pair_2,0.0
Domain_Non-Matching_Count_Pair_2,0.0
Special-Sites_Average_Sum_Blosum_Similar_Scores_Pair_2,0.0
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,0.0
Special-Sites_Sum_Blosum_Non-Similar_Scores_Pair_2,0.0
Special-Sites_Sum_Blosum_Similar_Scores_Pair_2,0.0
Special-Sites_Sum_Blosum_Matching_Scores_Pair_2,0.0
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_1,0.0
Special-Sites_Non-Matching_Count_Pair_2,0.0
Special-Sites_Matching_Count_Pair_2,0.0
Special-Sites_Length_Pair_2,0.0
Global_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,0.0
Domain_Non-Matching-Gap_Percent_Joint,0.0
Global_Average_Sum_Blosum_Similar_Scores_Pair_1,0.0
Special-Sites_Sum_Blosum_Positive_Scores_Pair_2,0.0
Special-Sites_Sum_Blosum_Positive_Scores_Pair_1,0.0
Special-Sites_Length_Joint,0.0
Domain_Non-Matching_Count_Joint,0.0
Domain_Non-Matching-Gap_Count_Joint,0.0
Domain_Sum_Blosum_Non-Similar_Scores_Joint,0.0
Domain_Length_Joint,0.0
Global_Average_Sum_Blosum_Non-Similar_Scores_Joint,0.0
Global_Average_Sum_Blosum_Similar_Scores_Joint,0.0
Global_Average_Sum_Blosum_Matching_Scores_Joint,0.0
Global_Average_Sum_Blosum_Positive_Scores_Joint,0.0
Special-Sites_Sum_Blosum_Positive_Scores_Joint,0.0
Blast_Positive_Percent_Joint,0.0
Global_Non-Matching-Gap_Percent_Joint,0.0
Domain_Average_Sum_Blosum_Positive_Scores_Joint,0.0
Domain_Sum_Blosum_Non-Similar_Scores_Pair_1,0.0
Special-Sites_Non-Matching_Percent_Joint,0.0
Special-Sites_Sum_Blosum_Matching_Scores_Joint,0.0
Special-Sites_Sum_Blosum_Non-Similar_Scores_Pair_1,0.0
Blast_Coverage_B_Joint,0.0
Domain_Non-Matching-Gap_Count_Pair_1,0.0
Global_Non-Matching-Gap_Percent_Pair_1,0.0
Global_Non-Matching-Gap_Count_Joint,0.0
Special-Sites_Length_Pair_1,0.0
Global_Non-Matching-Gap_Count_Pair_1,0.0
Special-Sites_Sum_Blosum_Similar_Scores_Pair_1,0.0
Special-Sites_Sum_Blosum_Matching_Scores_Pair_1,0.0
Domain_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,0.0
Global_Non-Matching_Percent_Pair_1,0.0
Special-Sites_Non-Matching_Count_Pair_1,0.0
Special-Sites_Matching_Count_Pair_1,0.0
Global_Matching_Percent_Pair_1,0.0
Special-Sites_Matching_Count_Joint,0.0
Special-Sites_Non-Matching_Count_Joint,0.0
Interface_Average_Sum_Blosum_Matching_Scores_Joint,8.385000594237576e-309
Interface_Average_Difference_Molecular_Weight_Scores_Joint,9.305518768261e-309
Domain_Sum_Blosum_Similar_Scores_Pair_2,1.0687878358836675e-305
Interface_Average_Sum_Blosum_Positive_Scores_Joint,7.950089179248469e-303
Interface_Average_Difference_Polarizability_Scores_Joint,1.4796806309893183e-302
Interface_Average_Sum_Blosum_Non-Similar_Scores_Joint,2.099928201470461e-301
Interface_Average_Difference_Volume_Side_Chains_Scores_Pair_1,1.224876520444292e-300
Interface_Matching_Percent_Pair_1,8.263699651190312e-300
Interface_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,3.0586952448219976e-296
Interface_Average_Difference_Hydrophobicity_Scores_Joint,1.7835646642656628e-295
Blast_Positive_Percent_Pair_1,6.309914585740158e-289
Interface_Average_Difference_Polarizability_Scores_Pair_1,7.597065830116066e-288
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Joint,2.7548711820691448e-285
Interface_Average_Difference_Molecular_Weight_Scores_Pair_1,3.4374115233043607e-284
Interface_Average_Difference_Total_Accessible_Surface_Area_Scores_Joint,4.2039757824784924e-284
Domain_Average_Sum_Blosum_Positive_Scores_Pair_2,3.150416979286506e-282
Global_Average_Sum_Blosum_Matching_Scores_Pair_1,1.8016218358385398e-281
Interface_Average_Sum_Blosum_Matching_Scores_Pair_1,2.7416438804789946e-278
Global_Sum_Blosum_Non-Similar_Scores_Joint,1.3512845824105486e-277
Interface_Average_Difference_Hydrophobicity_Scores_Pair_1,3.9130766799316996e-277
Interface_Average_Sum_Blosum_Positive_Scores_Pair_1,2.802603629447057e-275
Interface_Matching_Percent_Pair_2,3.338758320202909e-275
