Column,P-Value
Blast_Positive_Count_Pair_1,2.743706363719635e-166
Blast_Identical_Count_Pair_1,1.6247530341501975e-165
Blast_Identical_Count_Joint,9.992085660537761e-165
Global_Score_Joint,1.10829650068771e-164
Blast_Positive_Count_Joint,2.2133983455786406e-164
Global_Score_Pair_1,5.232613339859799e-162
Blast_Bitscore_Joint,1.200682406415947e-160
Global_Matching_Count_Pair_1,1.549533212125497e-156
Global_Sum_Blosum_Positive_Scores_Pair_1,6.570668610836396e-156
Global_Sum_Blosum_Matching_Scores_Pair_1,3.9699207270463064e-155
Global_Matching_Count_Joint,7.96506770931674e-155
Blast_E-Value_Joint,3.205811569082876e-154
Global_Sum_Blosum_Matching_Scores_Joint,5.260994952927116e-154
Blast_Bitscore_Pair_1,2.2057488514678632e-153
Global_Sum_Blosum_Positive_Scores_Joint,4.1479666324274367e-153
Blast_E-Value_Pair_1,1.0518637897121697e-148
Blast_End_A_Pair_1,8.72611058882076e-142
Blast_Alignment_Length_Joint,1.676207847255458e-136
Blast_Positive_Count_Pair_2,8.117163672938217e-136
Global_Sum_Blosum_Similar_Scores_Pair_1,1.3879647708905363e-135
Blast_Alignment_Length_Pair_1,1.2232037261084277e-134
Blast_End_A_Joint,1.3897748971372018e-134
Global_Matching_Count_Pair_2,1.5672542367320012e-132
Global_Sum_Blosum_Similar_Scores_Joint,3.990069539518608e-132
Global_Sum_Blosum_Positive_Scores_Pair_2,4.409924407170472e-132
Global_Sum_Blosum_Matching_Scores_Pair_2,2.1242842586346352e-131
Blast_Identical_Count_Pair_2,5.685286099614155e-131
Blast_End_B_Pair_1,2.2566061998422117e-127
Global_Sum_Blosum_Similar_Scores_Pair_2,2.8509547375807853e-124
Fasta_Length_A_Joint,1.1898443392748602e-123
Fasta_Length_A_Pair_1,1.2976744091410768e-122
Blast_Alignment_Length_Pair_2,2.094372070886331e-122
Blast_End_B_Joint,1.8108865540852227e-121
Blast_End_A_Pair_2,4.358679888486321e-121
Global_Score_Pair_2,2.1845562128775917e-119
Fasta_Length_A_Pair_2,7.646503706234434e-116
Blast_End_B_Pair_2,1.1799963185799434e-115
Fasta_Length_B_Pair_1,1.2696421178738425e-111
Blast_Mismatch_Count_Pair_1,1.9857076513527405e-111
Blast_Bitscore_Pair_2,4.438313541853374e-111
Global_Non-Matching_Count_Pair_1,6.013321845959326e-110
Blast_Mismatch_Count_Joint,5.356781311244802e-106
Blast_E-Value_Pair_2,3.9993874379991915e-105
Blast_Mismatch_Count_Pair_2,2.1558823555399818e-104
Global_Length_Pair_1,1.028250169535136e-101
Fasta_Length_B_Pair_2,5.3825012736050505e-101
Fasta_Length_B_Joint,4.063048664285778e-98
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Joint,5.297907437395083e-98
Global_Non-Matching_Count_Pair_2,1.8790984105087314e-96
Interface_Average_Difference_Volume_Side_Chains_Scores_Pair_1,4.70803960569343e-96
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_1,6.467798916226303e-96
Global_Non-Matching_Count_Joint,3.528913272907719e-95
Global_Length_Pair_2,4.040369734718831e-95
Interface_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,8.479872489666559e-95
Interface_Average_Difference_Molecular_Weight_Scores_Pair_1,1.787135939163022e-94
Interface_Average_Difference_Volume_Side_Chains_Scores_Joint,3.4360931264435272e-93
Interface_Average_Difference_Polarizability_Scores_Pair_1,3.161730923489825e-92
Interface_Average_Difference_Total_Accessible_Surface_Area_Scores_Pair_1,4.613449802625621e-92
Global_Length_Joint,9.297970776491273e-92
Interface_Average_Difference_Polarity_Scores_Pair_1,2.9379158415770525e-89
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Joint,3.114349865466682e-89
Interface_Average_Difference_Volume_Buried_Residue_Scores_Pair_1,5.562566871799853e-89
Special-Sites_Non-Matching_Count_Pair_1,1.114133578036375e-88
Interface_Average_Sum_Blosum_Non-Similar_Scores_Joint,1.6566093240225295e-88
Interface_Average_Difference_Hydrophobicity_Scores_Joint,4.823877742849815e-88
Interface_Average_Difference_Volume_Buried_Residue_Scores_Joint,6.997790883256794e-86
Interface_Average_Difference_Molecular_Weight_Scores_Joint,1.908139617246387e-85
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_1,5.273134347518146e-85
Interface_Average_Difference_Flexibility_Scores_Pair_1,1.3842014409904926e-84
Interface_Average_Difference_Polarizability_Scores_Joint,6.4090628777526146e-83
Interface_Average_Difference_Polarity_Scores_Joint,8.996068473729571e-83
Interface_Average_Difference_Turn_Percent_Joint,1.5776744331704195e-82
Interface_Average_Difference_Total_Accessible_Surface_Area_Scores_Joint,1.8250854728356628e-82
Interface_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,4.85574913529236e-82
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_2,1.6739021301848984e-81
Interface_Overlapping_Domain_Percent_Pair_2,2.238819183771924e-81
Interface_Non-Matching_Percent_Pair_2,3.955813228395376e-80
Interface_Average_Difference_Hydrophobicity_Scores_Pair_1,4.2050665524339866e-78
Special-Sites_Length_Pair_1,3.4901834783631e-77
Blast_Positive_Percent_Pair_1,1.3798226549859835e-76
Interface_Average_Difference_Turn_Percent_Pair_2,1.5378550938542525e-76
Interface_Average_Difference_Hydrophobicity_Scores_Pair_2,1.680530236989197e-76
Special-Sites_Sum_Blosum_Non-Similar_Scores_Pair_1,3.079083188649427e-76
Special-Sites_Average_Sum_Blosum_Matching_Scores_Pair_1,4.761165700209525e-76
Blast_Mismatch_Percent_Joint,1.9330369429984525e-75
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Joint,1.2645948099455865e-74
Interface_Average_Difference_Volume_Side_Chains_Scores_Pair_2,1.6018223410768713e-74
Special-Sites_Sum_Blosum_Non-Similar_Scores_Pair_2,3.5109224101948085e-74
Interface_Average_Difference_Volume_Buried_Residue_Scores_Pair_2,4.7078186003381844e-74
Special-Sites_Non-Matching_Count_Pair_2,4.592120508540556e-73
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_1,6.842974854948442e-73
Special-Sites_Average_Sum_Blosum_Positive_Scores_Pair_1,8.458302997745678e-73
Blast_Identical_Percent_Pair_1,2.9200430726775917e-72
Blast_Identical_Percent_Joint,3.4508984046482833e-72
Interface_Average_Difference_Flexibility_Scores_Joint,6.85785879208091e-72
Special-Sites_Non-Matching_Count_Joint,7.64427121744332e-72
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_2,1.3484075313478385e-71
Global_Matching_Percent_Pair_1,3.658722030600969e-71
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,4.391081647658643e-71
Special-Sites_Matching_Percent_Pair_1,4.0228686900337886e-70
