Column,P-Value
Global_Matching_Percent_Joint,2.957723579333828e-57
Global_Average_Sum_Blosum_Positive_Scores_Joint,3.080428326242367e-56
Global_Average_Sum_Blosum_Matching_Scores_Joint,5.097877335199799e-54
Blast_Positive_Percent_Joint,5.40627693122548e-54
Global_Average_Sum_Blosum_Non-Similar_Scores_Joint,3.365567608851609e-52
Blast_Identical_Percent_Joint,6.199558458423332e-51
Global_Score_Joint,2.284183289770329e-48
Global_Average_Sum_Blosum_Positive_Scores_Pair_1,3.0601723055006765e-44
Global_Matching_Percent_Pair_1,2.77176386112021e-43
Blast_Mismatch_Percent_Joint,5.4881200870236325e-43
Blast_Bitscore_Joint,9.680076467100183e-43
Global_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,1.826970851150382e-42
Global_Average_Sum_Blosum_Matching_Scores_Pair_1,8.960168939146456e-42
Blast_Coverage_A_Pair_1,1.2420635281952686e-41
Blast_Positive_Percent_Pair_1,4.963422233076176e-41
Blast_Coverage_A_Joint,2.729267593556498e-40
Blast_E-Value_Joint,4.3467418235454034e-39
Global_Matching_Percent_Pair_2,1.0849530591784022e-37
Blast_Identical_Percent_Pair_1,3.922938448468507e-37
Global_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,4.987042931920312e-36
Global_Score_Pair_2,1.6772177654395478e-35
Blast_Mismatch_Percent_Pair_1,6.38305966954753e-35
Global_Average_Sum_Blosum_Positive_Scores_Pair_2,8.824908017588122e-35
Global_Average_Sum_Blosum_Matching_Scores_Pair_2,1.8229616764838373e-34
Global_Non-Matching-Gap_Percent_Joint,1.8420630219205972e-34
Blast_Coverage_B_Joint,1.8158568624224963e-33
Blast_Positive_Percent_Pair_2,2.9760141252303587e-31
Blast_Identical_Count_Joint,1.0305912246152872e-30
Domain_Average_Sum_Blosum_Positive_Scores_Joint,1.4735389113916358e-30
Blast_Identical_Percent_Pair_2,1.8035717367141465e-30
Special-Sites_Non-Matching_Percent_Pair_2,9.121934208933267e-30
Domain_Non-Matching-Gap_Percent_Joint,4.430582929840425e-29
Blast_E-Value_Pair_2,7.024979320370568e-29
Blast_E-Value_Pair_1,7.383782464743581e-29
Domain_Average_Sum_Blosum_Non-Similar_Scores_Joint,1.3930966279018438e-28
Blast_Bitscore_Pair_2,1.6096623667425744e-28
Blast_Mismatch_Percent_Pair_2,2.018258034780846e-28
Domain_Non-Matching-Gap_Count_Joint,4.413321831673263e-28
Domain_Sum_Blosum_Non-Similar_Scores_Pair_2,6.753813529775466e-28
Domain_Average_Sum_Blosum_Matching_Scores_Joint,1.109206012477021e-27
Domain_Average_Sum_Blosum_Positive_Scores_Pair_1,1.2349010436762714e-27
Domain_Matching_Percent_Joint,1.909553804368919e-27
Domain_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,2.017311604598549e-27
Domain_Non-Matching-Gap_Count_Pair_2,1.1544927985646497e-26
Global_Score_Pair_1,2.8251676848408294e-26
Global_Non-Matching-Gap_Percent_Pair_1,6.51346532048829e-26
Blast_Bitscore_Pair_1,6.709079599319357e-26
Domain_Average_Sum_Blosum_Matching_Scores_Pair_1,1.966378098595673e-24
Blast_Identical_Count_Pair_2,9.87281305064142e-24
Blast_Coverage_B_Pair_1,1.4658068474399167e-23
Domain_Sum_Blosum_Non-Similar_Scores_Joint,1.641245880699601e-23
Domain_Matching_Percent_Pair_1,3.332148892281579e-23
Global_Non-Matching-Gap_Percent_Pair_2,1.0940510557808349e-22
Domain_Non-Matching_Count_Pair_2,1.7188097428229091e-22
Blast_Start_A_Pair_1,3.7845949423338752e-22
Interface_Sum_Blosum_Matching_Scores_Joint,6.676338560136016e-22
Interface_Matching_Count_Joint,1.4310631840335078e-21
Blast_Coverage_B_Pair_2,3.117730567558121e-21
Global_Non-Matching-Gap_Count_Joint,4.0403536784806765e-21
Blast_Positive_Count_Joint,4.6985563924824496e-21
Global_Sum_Blosum_Non-Similar_Scores_Pair_1,6.613960867409162e-21
Interface_Sum_Blosum_Positive_Scores_Joint,9.109634347254544e-21
Domain_Non-Matching-Gap_Percent_Pair_1,1.0091652838850996e-20
Global_Sum_Blosum_Non-Similar_Scores_Joint,1.208673841025655e-20
Interface_Average_Sum_Blosum_Matching_Scores_Joint,1.4938397506621972e-20
Global_Non-Matching-Gap_Count_Pair_1,1.9362777538853726e-20
Interface_Average_Sum_Blosum_Positive_Scores_Joint,2.3924619961696436e-20
Blast_Positive_Count_Pair_2,5.043746238513046e-20
Interface_Matching_Percent_Joint,8.381780249323687e-20
Domain_Non-Matching-Gap_Percent_Pair_2,1.3373006904676726e-19
Domain_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,1.070138465276263e-18
Special-Sites_Non-Matching_Percent_Pair_1,1.83209131433698e-18
Blast_Start_A_Joint,3.826099323169524e-18
Special-Sites_Average_Sum_Blosum_Similar_Scores_Pair_2,5.240635837700493e-18
Domain_Non-Matching-Gap_Count_Pair_1,6.028966150239923e-18
Global_Matching_Count_Pair_2,1.1536326569305491e-17
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,1.9143746857621242e-17
Special-Sites_Non-Matching_Count_Pair_2,2.6976573335260222e-17
Global_Sum_Blosum_Matching_Scores_Pair_2,3.839460610645747e-17
Global_Matching_Count_Joint,1.315192086351183e-16
Domain_Non-Matching_Percent_Joint,5.260005166804648e-16
Global_Sum_Blosum_Matching_Scores_Joint,6.970600945394926e-16
Global_Sum_Blosum_Positive_Scores_Pair_2,7.949758861600985e-16
Blast_Start_B_Joint,1.2198258845359302e-15
Blast_Identical_Count_Pair_1,2.227308627592251e-15
Blast_Coverage_A_Pair_2,2.7172406258707177e-15
Interface_Sum_Blosum_Matching_Scores_Pair_2,5.2206202047504825e-15
Domain_Matching_Percent_Pair_2,5.7731880323023495e-15
Domain_Average_Sum_Blosum_Positive_Scores_Pair_2,7.537681160788099e-15
Special-Sites_Average_Sum_Blosum_Similar_Scores_Pair_1,1.40965219464145e-14
Domain_Non-Matching_Count_Joint,1.7845478213590184e-14
Interface_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,1.8285817022718628e-14
Interface_Matching_Count_Pair_2,1.8490794791707173e-14
Interface_Sum_Blosum_Positive_Scores_Pair_2,5.6675838496104636e-14
Interface_Sum_Blosum_Matching_Scores_Pair_1,5.734807984004965e-14
Interface_Matching_Count_Pair_1,8.683321272247113e-14
Domain_Average_Sum_Blosum_Matching_Scores_Pair_2,1.02665943725558e-13
Domain_Sum_Blosum_Non-Similar_Scores_Pair_1,1.8698946185953548e-13
Global_Non-Matching-Gap_Count_Pair_2,2.801556815286658e-13
Special-Sites_Sum_Blosum_Non-Similar_Scores_Pair_2,4.0321287528367817e-13
Domain_Sum_Blosum_Similar_Scores_Pair_2,4.980848366629006e-13
Domain_Non-Matching_Percent_Pair_1,6.990408216327884e-13
Global_Sum_Blosum_Positive_Scores_Joint,7.759095769162542e-13
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_2,9.011725152673679e-13
Interface_Average_Difference_Volume_Buried_Residue_Scores_Pair_2,1.4613322579429595e-12
Interface_Average_Sum_Blosum_Positive_Scores_Pair_2,1.4872682120610708e-12
Interface_Sum_Blosum_Positive_Scores_Pair_1,1.6669185736578465e-12
Interface_Average_Sum_Blosum_Matching_Scores_Pair_1,2.02865525305889e-12
Interface_Average_Sum_Blosum_Matching_Scores_Pair_2,2.167191833546781e-12
Blast_Start_B_Pair_1,2.98542228013181e-12
Interface_Average_Difference_Polarity_Scores_Pair_2,3.4003078033666017e-12
Special-Sites_Sum_Blosum_Similar_Scores_Pair_2,4.229992420608131e-12
Interface_Matching_Percent_Pair_1,6.340182961862696e-12
Interface_Matching_Percent_Pair_2,1.0047398382705313e-11
Global_Sum_Blosum_Non-Similar_Scores_Pair_2,1.970158316924643e-11
Interface_Average_Sum_Blosum_Positive_Scores_Pair_1,1.9923733018986025e-11
Special-Sites_Non-Matching_Count_Pair_1,2.5662325677348182e-11
Interface_Average_Difference_Molecular_Weight_Scores_Pair_2,2.8599577470973643e-11
Global_Average_Sum_Blosum_Similar_Scores_Joint,8.914159247444488e-11
Domain_Length_Pair_2,9.524542198946114e-11
Special-Sites_Sum_Blosum_Similar_Scores_Pair_1,1.095937841484431e-10
Special-Sites_Non-Matching_Percent_Joint,1.100315071053415e-10
Interface_Average_Difference_Hydrophobicity_Scores_Pair_2,1.186630035245628e-10
Interface_Average_Difference_Helix_Percent_Pair_2,1.1944383528612824e-10
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,2.1965665134362965e-10
Interface_Average_Difference_Total_Accessible_Surface_Area_Scores_Pair_2,2.2049701137983139e-10
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_2,2.285546643723957e-10
Interface_Average_Difference_Polarizability_Scores_Pair_2,2.7980491299751954e-10
Interface_Sum_Blosum_Similar_Scores_Joint,3.437733427962398e-10
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_2,4.3379723174316186e-10
Interface_Non-Matching_Percent_Pair_2,5.229165558638917e-10
Blast_Positive_Count_Pair_1,6.703640971722835e-10
Interface_Average_Difference_Volume_Side_Chains_Scores_Pair_2,8.331107157465421e-10
Interface_Non-Matching_Count_Joint,1.4369488224477472e-09
Special-Sites_Sum_Blosum_Non-Similar_Scores_Pair_1,3.77972283480746e-09
Domain_Non-Matching_Percent_Pair_2,4.04977060545853e-09
